Sentence,Target_Action,Noun,Color,Relative_Action,Relative_Object,Relative_Object_Color
hold the blue cube below the red sphere,hold,cube,blue,below,sphere,red
hold the blue cube below the blue sphere,hold,cube,blue,below,sphere,blue
hold the blue cube below the green sphere,hold,cube,blue,below,sphere,green
hold the blue cube near the red sphere,hold,cube,blue,near,sphere,red
hold the blue cube near the blue sphere,hold,cube,blue,near,sphere,blue
hold the blue cube near the green sphere,hold,cube,blue,near,sphere,green
hold the blue cube right the red sphere,hold,cube,blue,right,sphere,red
hold the blue cube right the blue sphere,hold,cube,blue,right,sphere,blue
hold the blue cube right the green sphere,hold,cube,blue,right,sphere,green
hold the blue cube left the red sphere,hold,cube,blue,left,sphere,red
hold the blue cube left the blue sphere,hold,cube,blue,left,sphere,blue
hold the blue cube left the green sphere,hold,cube,blue,left,sphere,green
add the green cube above the red cube,add,cube,green,above,cube,red
add the green cube above the blue cube,add,cube,green,above,cube,blue
add the green cube above the green cube,add,cube,green,above,cube,green
add the green cube below the red cube,add,cube,green,below,cube,red
add the green cube below the blue cube,add,cube,green,below,cube,blue
add the green cube below the green cube,add,cube,green,below,cube,green
add the green cube near the red cube,add,cube,green,near,cube,red
add the green cube near the blue cube,add,cube,green,near,cube,blue
add the green cube near the green cube,add,cube,green,near,cube,green
add the green cube right the red cube,add,cube,green,right,cube,red
add the green cube right the blue cube,add,cube,green,right,cube,blue
add the green cube right the green cube,add,cube,green,right,cube,green
add the green cube left the red cube,add,cube,green,left,cube,red
add the green cube left the blue cube,add,cube,green,left,cube,blue
add the green cube left the green cube,add,cube,green,left,cube,green
add the green cube above the red pyramid,add,cube,green,above,pyramid,red
add the green cube above the blue pyramid,add,cube,green,above,pyramid,blue
add the green cube above the green pyramid,add,cube,green,above,pyramid,green
add the green cube below the red pyramid,add,cube,green,below,pyramid,red
add the green cube below the blue pyramid,add,cube,green,below,pyramid,blue
add the green cube below the green pyramid,add,cube,green,below,pyramid,green
add the green cube near the red pyramid,add,cube,green,near,pyramid,red
add the green cube near the blue pyramid,add,cube,green,near,pyramid,blue
add the green cube near the green pyramid,add,cube,green,near,pyramid,green
add the green cube right the red pyramid,add,cube,green,right,pyramid,red
add the green cube right the blue pyramid,add,cube,green,right,pyramid,blue
add the green cube right the green pyramid,add,cube,green,right,pyramid,green
add the green cube left the red pyramid,add,cube,green,left,pyramid,red
add the green cube left the blue pyramid,add,cube,green,left,pyramid,blue
add the green cube left the green pyramid,add,cube,green,left,pyramid,green
add the green cube above the red sphere,add,cube,green,above,sphere,red
add the green cube above the blue sphere,add,cube,green,above,sphere,blue
add the green cube above the green sphere,add,cube,green,above,sphere,green
add the green cube below the red sphere,add,cube,green,below,sphere,red
add the green cube below the blue sphere,add,cube,green,below,sphere,blue
add the green cube below the green sphere,add,cube,green,below,sphere,green
add the green cube near the red sphere,add,cube,green,near,sphere,red
add the green cube near the blue sphere,add,cube,green,near,sphere,blue
add the green cube near the green sphere,add,cube,green,near,sphere,green
add the green cube right the red sphere,add,cube,green,right,sphere,red
add the green cube right the blue sphere,add,cube,green,right,sphere,blue
add the green cube right the green sphere,add,cube,green,right,sphere,green
add the green cube left the red sphere,add,cube,green,left,sphere,red
add the green cube left the blue sphere,add,cube,green,left,sphere,blue
add the green cube left the green sphere,add,cube,green,left,sphere,green
find the green cube above the red cube,find,cube,green,above,cube,red
find the green cube above the blue cube,find,cube,green,above,cube,blue
find the green cube above the green cube,find,cube,green,above,cube,green
find the green cube below the red cube,find,cube,green,below,cube,red
find the green cube below the blue cube,find,cube,green,below,cube,blue
find the green cube below the green cube,find,cube,green,below,cube,green
find the green cube near the red cube,find,cube,green,near,cube,red
find the green cube near the blue cube,find,cube,green,near,cube,blue
find the green cube near the green cube,find,cube,green,near,cube,green
find the green cube right the red cube,find,cube,green,right,cube,red
find the green cube right the blue cube,find,cube,green,right,cube,blue
find the green cube right the green cube,find,cube,green,right,cube,green
find the green cube left the red cube,find,cube,green,left,cube,red
find the green cube left the blue cube,find,cube,green,left,cube,blue
find the green cube left the green cube,find,cube,green,left,cube,green
find the green cube above the red pyramid,find,cube,green,above,pyramid,red
find the green cube above the blue pyramid,find,cube,green,above,pyramid,blue
find the green cube above the green pyramid,find,cube,green,above,pyramid,green
find the green cube below the red pyramid,find,cube,green,below,pyramid,red
find the green cube below the blue pyramid,find,cube,green,below,pyramid,blue
find the green cube below the green pyramid,find,cube,green,below,pyramid,green
find the green cube near the red pyramid,find,cube,green,near,pyramid,red
find the green cube near the blue pyramid,find,cube,green,near,pyramid,blue
find the green cube near the green pyramid,find,cube,green,near,pyramid,green
find the green cube right the red pyramid,find,cube,green,right,pyramid,red
find the green cube right the blue pyramid,find,cube,green,right,pyramid,blue
find the green cube right the green pyramid,find,cube,green,right,pyramid,green
find the green cube left the red pyramid,find,cube,green,left,pyramid,red
find the green cube left the blue pyramid,find,cube,green,left,pyramid,blue
find the green cube left the green pyramid,find,cube,green,left,pyramid,green
find the green cube above the red sphere,find,cube,green,above,sphere,red
find the green cube above the blue sphere,find,cube,green,above,sphere,blue
find the green cube above the green sphere,find,cube,green,above,sphere,green
find the green cube below the red sphere,find,cube,green,below,sphere,red
find the green cube below the blue sphere,find,cube,green,below,sphere,blue
find the green cube below the green sphere,find,cube,green,below,sphere,green
find the green cube near the red sphere,find,cube,green,near,sphere,red
find the green cube near the blue sphere,find,cube,green,near,sphere,blue
find the green cube near the green sphere,find,cube,green,near,sphere,green
find the green cube right the red sphere,find,cube,green,right,sphere,red
find the green cube right the blue sphere,find,cube,green,right,sphere,blue
find the green cube right the green sphere,find,cube,green,right,sphere,green
find the green cube left the red sphere,find,cube,green,left,sphere,red
find the green cube left the blue sphere,find,cube,green,left,sphere,blue
find the green cube left the green sphere,find,cube,green,left,sphere,green
delete the green cube above the red cube,delete,cube,green,above,cube,red
delete the green cube above the blue cube,delete,cube,green,above,cube,blue
delete the green cube above the green cube,delete,cube,green,above,cube,green
delete the green cube below the red cube,delete,cube,green,below,cube,red
delete the green cube below the blue cube,delete,cube,green,below,cube,blue
delete the green cube below the green cube,delete,cube,green,below,cube,green
delete the green cube near the red cube,delete,cube,green,near,cube,red
delete the green cube near the blue cube,delete,cube,green,near,cube,blue
delete the green cube near the green cube,delete,cube,green,near,cube,green
delete the green cube right the red cube,delete,cube,green,right,cube,red
delete the green cube right the blue cube,delete,cube,green,right,cube,blue
delete the green cube right the green cube,delete,cube,green,right,cube,green
delete the green cube left the red cube,delete,cube,green,left,cube,red
delete the green cube left the blue cube,delete,cube,green,left,cube,blue
delete the green cube left the green cube,delete,cube,green,left,cube,green
delete the green cube above the red pyramid,delete,cube,green,above,pyramid,red
delete the green cube above the blue pyramid,delete,cube,green,above,pyramid,blue
delete the green cube above the green pyramid,delete,cube,green,above,pyramid,green
delete the green cube below the red pyramid,delete,cube,green,below,pyramid,red
delete the green cube below the blue pyramid,delete,cube,green,below,pyramid,blue
delete the green cube below the green pyramid,delete,cube,green,below,pyramid,green
delete the green cube near the red pyramid,delete,cube,green,near,pyramid,red
delete the green cube near the blue pyramid,delete,cube,green,near,pyramid,blue
delete the green cube near the green pyramid,delete,cube,green,near,pyramid,green
delete the green cube right the red pyramid,delete,cube,green,right,pyramid,red
delete the green cube right the blue pyramid,delete,cube,green,right,pyramid,blue
delete the green cube right the green pyramid,delete,cube,green,right,pyramid,green
delete the green cube left the red pyramid,delete,cube,green,left,pyramid,red
delete the green cube left the blue pyramid,delete,cube,green,left,pyramid,blue
delete the green cube left the green pyramid,delete,cube,green,left,pyramid,green
delete the green cube above the red sphere,delete,cube,green,above,sphere,red
delete the green cube above the blue sphere,delete,cube,green,above,sphere,blue
delete the green cube above the green sphere,delete,cube,green,above,sphere,green
delete the green cube below the red sphere,delete,cube,green,below,sphere,red
delete the green cube below the blue sphere,delete,cube,green,below,sphere,blue
delete the green cube below the green sphere,delete,cube,green,below,sphere,green
delete the green cube near the red sphere,delete,cube,green,near,sphere,red
delete the green cube near the blue sphere,delete,cube,green,near,sphere,blue
delete the green cube near the green sphere,delete,cube,green,near,sphere,green
delete the green cube right the red sphere,delete,cube,green,right,sphere,red
delete the green cube right the blue sphere,delete,cube,green,right,sphere,blue
delete the green cube right the green sphere,delete,cube,green,right,sphere,green
delete the green cube left the red sphere,delete,cube,green,left,sphere,red
delete the green cube left the blue sphere,delete,cube,green,left,sphere,blue
delete the green cube left the green sphere,delete,cube,green,left,sphere,green
move the green cube above the red cube,move,cube,green,above,cube,red
move the green cube above the blue cube,move,cube,green,above,cube,blue
move the green cube above the green cube,move,cube,green,above,cube,green
move the green cube below the red cube,move,cube,green,below,cube,red
move the green cube below the blue cube,move,cube,green,below,cube,blue
move the green cube below the green cube,move,cube,green,below,cube,green
move the green cube near the red cube,move,cube,green,near,cube,red
move the green cube near the blue cube,move,cube,green,near,cube,blue
move the green cube near the green cube,move,cube,green,near,cube,green
move the green cube right the red cube,move,cube,green,right,cube,red
move the green cube right the blue cube,move,cube,green,right,cube,blue
move the green cube right the green cube,move,cube,green,right,cube,green
move the green cube left the red cube,move,cube,green,left,cube,red
move the green cube left the blue cube,move,cube,green,left,cube,blue
move the green cube left the green cube,move,cube,green,left,cube,green
move the green cube above the red pyramid,move,cube,green,above,pyramid,red
move the green cube above the blue pyramid,move,cube,green,above,pyramid,blue
move the green cube above the green pyramid,move,cube,green,above,pyramid,green
move the green cube below the red pyramid,move,cube,green,below,pyramid,red
move the green cube below the blue pyramid,move,cube,green,below,pyramid,blue
move the green cube below the green pyramid,move,cube,green,below,pyramid,green
move the green cube near the red pyramid,move,cube,green,near,pyramid,red
move the green cube near the blue pyramid,move,cube,green,near,pyramid,blue
move the green cube near the green pyramid,move,cube,green,near,pyramid,green
move the green cube right the red pyramid,move,cube,green,right,pyramid,red
move the green cube right the blue pyramid,move,cube,green,right,pyramid,blue
move the green cube right the green pyramid,move,cube,green,right,pyramid,green
move the green cube left the red pyramid,move,cube,green,left,pyramid,red
move the green cube left the blue pyramid,move,cube,green,left,pyramid,blue
move the green cube left the green pyramid,move,cube,green,left,pyramid,green
move the green cube above the red sphere,move,cube,green,above,sphere,red
move the green cube above the blue sphere,move,cube,green,above,sphere,blue
move the green cube above the green sphere,move,cube,green,above,sphere,green
move the green cube below the red sphere,move,cube,green,below,sphere,red
move the green cube below the blue sphere,move,cube,green,below,sphere,blue
move the green cube below the green sphere,move,cube,green,below,sphere,green
move the green cube near the red sphere,move,cube,green,near,sphere,red
move the green cube near the blue sphere,move,cube,green,near,sphere,blue
move the green cube near the green sphere,move,cube,green,near,sphere,green
move the green cube right the red sphere,move,cube,green,right,sphere,red
move the green cube right the blue sphere,move,cube,green,right,sphere,blue
move the green cube right the green sphere,move,cube,green,right,sphere,green
move the green cube left the red sphere,move,cube,green,left,sphere,red
move the green cube left the blue sphere,move,cube,green,left,sphere,blue
move the green cube left the green sphere,move,cube,green,left,sphere,green
hold the green cube above the red cube,hold,cube,green,above,cube,red
hold the green cube above the blue cube,hold,cube,green,above,cube,blue
hold the green cube above the green cube,hold,cube,green,above,cube,green
hold the green cube below the red cube,hold,cube,green,below,cube,red
hold the green cube below the blue cube,hold,cube,green,below,cube,blue
hold the green cube below the green cube,hold,cube,green,below,cube,green
hold the green cube near the red cube,hold,cube,green,near,cube,red
hold the green cube near the blue cube,hold,cube,green,near,cube,blue
hold the green cube near the green cube,hold,cube,green,near,cube,green
hold the green cube right the red cube,hold,cube,green,right,cube,red
hold the green cube right the blue cube,hold,cube,green,right,cube,blue
hold the green cube right the green cube,hold,cube,green,right,cube,green
hold the green cube left the red cube,hold,cube,green,left,cube,red
hold the green cube left the blue cube,hold,cube,green,left,cube,blue
hold the green cube left the green cube,hold,cube,green,left,cube,green
hold the green cube above the red pyramid,hold,cube,green,above,pyramid,red
hold the green cube above the blue pyramid,hold,cube,green,above,pyramid,blue
hold the green cube above the green pyramid,hold,cube,green,above,pyramid,green
hold the green cube below the red pyramid,hold,cube,green,below,pyramid,red
hold the green cube below the blue pyramid,hold,cube,green,below,pyramid,blue
hold the green cube below the green pyramid,hold,cube,green,below,pyramid,green
hold the green cube near the red pyramid,hold,cube,green,near,pyramid,red
hold the green cube near the blue pyramid,hold,cube,green,near,pyramid,blue
hold the green cube near the green pyramid,hold,cube,green,near,pyramid,green
hold the green cube right the red pyramid,hold,cube,green,right,pyramid,red
hold the green cube right the blue pyramid,hold,cube,green,right,pyramid,blue
hold the green cube right the green pyramid,hold,cube,green,right,pyramid,green
hold the green cube left the red pyramid,hold,cube,green,left,pyramid,red
hold the green cube left the blue pyramid,hold,cube,green,left,pyramid,blue
hold the green cube left the green pyramid,hold,cube,green,left,pyramid,green
hold the green cube above the red sphere,hold,cube,green,above,sphere,red
hold the green cube above the blue sphere,hold,cube,green,above,sphere,blue
hold the green cube above the green sphere,hold,cube,green,above,sphere,green
hold the green cube below the red sphere,hold,cube,green,below,sphere,red
hold the green cube below the blue sphere,hold,cube,green,below,sphere,blue
hold the green cube below the green sphere,hold,cube,green,below,sphere,green
hold the green cube near the red sphere,hold,cube,green,near,sphere,red
hold the green cube near the blue sphere,hold,cube,green,near,sphere,blue
hold the green cube near the green sphere,hold,cube,green,near,sphere,green
hold the green cube right the red sphere,hold,cube,green,right,sphere,red
hold the green cube right the blue sphere,hold,cube,green,right,sphere,blue
hold the green cube right the green sphere,hold,cube,green,right,sphere,green
hold the green cube left the red sphere,hold,cube,green,left,sphere,red
hold the green cube left the blue sphere,hold,cube,green,left,sphere,blue
hold the green cube left the green sphere,hold,cube,green,left,sphere,green
add the red pyramid above the red cube,add,pyramid,red,above,cube,red
add the red pyramid above the blue cube,add,pyramid,red,above,cube,blue
add the red pyramid above the green cube,add,pyramid,red,above,cube,green
add the red pyramid below the red cube,add,pyramid,red,below,cube,red
add the red pyramid below the blue cube,add,pyramid,red,below,cube,blue
add the red pyramid below the green cube,add,pyramid,red,below,cube,green
add the red pyramid near the red cube,add,pyramid,red,near,cube,red
add the red pyramid near the blue cube,add,pyramid,red,near,cube,blue
add the red pyramid near the green cube,add,pyramid,red,near,cube,green
add the red pyramid right the red cube,add,pyramid,red,right,cube,red
add the red pyramid right the blue cube,add,pyramid,red,right,cube,blue
add the red pyramid right the green cube,add,pyramid,red,right,cube,green
add the red pyramid left the red cube,add,pyramid,red,left,cube,red
add the red pyramid left the blue cube,add,pyramid,red,left,cube,blue
add the red pyramid left the green cube,add,pyramid,red,left,cube,green
add the red pyramid above the red pyramid,add,pyramid,red,above,pyramid,red
add the red pyramid above the blue pyramid,add,pyramid,red,above,pyramid,blue
add the red pyramid above the green pyramid,add,pyramid,red,above,pyramid,green
add the red pyramid below the red pyramid,add,pyramid,red,below,pyramid,red
add the red pyramid below the blue pyramid,add,pyramid,red,below,pyramid,blue
add the red pyramid below the green pyramid,add,pyramid,red,below,pyramid,green
add the red pyramid near the red pyramid,add,pyramid,red,near,pyramid,red
add the red pyramid near the blue pyramid,add,pyramid,red,near,pyramid,blue
add the red pyramid near the green pyramid,add,pyramid,red,near,pyramid,green
add the red pyramid right the red pyramid,add,pyramid,red,right,pyramid,red
add the red pyramid right the blue pyramid,add,pyramid,red,right,pyramid,blue
add the red pyramid right the green pyramid,add,pyramid,red,right,pyramid,green
add the red pyramid left the red pyramid,add,pyramid,red,left,pyramid,red
add the red pyramid left the blue pyramid,add,pyramid,red,left,pyramid,blue
add the red pyramid left the green pyramid,add,pyramid,red,left,pyramid,green
add the red pyramid above the red sphere,add,pyramid,red,above,sphere,red
add the red pyramid above the blue sphere,add,pyramid,red,above,sphere,blue
add the red pyramid above the green sphere,add,pyramid,red,above,sphere,green
add the red pyramid below the red sphere,add,pyramid,red,below,sphere,red
add the red pyramid below the blue sphere,add,pyramid,red,below,sphere,blue
add the red pyramid below the green sphere,add,pyramid,red,below,sphere,green
add the red pyramid near the red sphere,add,pyramid,red,near,sphere,red
add the red pyramid near the blue sphere,add,pyramid,red,near,sphere,blue
add the red pyramid near the green sphere,add,pyramid,red,near,sphere,green
add the red pyramid right the red sphere,add,pyramid,red,right,sphere,red
add the red pyramid right the blue sphere,add,pyramid,red,right,sphere,blue
add the red pyramid right the green sphere,add,pyramid,red,right,sphere,green
add the red pyramid left the red sphere,add,pyramid,red,left,sphere,red
add the red pyramid left the blue sphere,add,pyramid,red,left,sphere,blue
add the red pyramid left the green sphere,add,pyramid,red,left,sphere,green
find the red pyramid above the red cube,find,pyramid,red,above,cube,red
find the red pyramid above the blue cube,find,pyramid,red,above,cube,blue
find the red pyramid above the green cube,find,pyramid,red,above,cube,green
find the red pyramid below the red cube,find,pyramid,red,below,cube,red
find the red pyramid below the blue cube,find,pyramid,red,below,cube,blue
find the red pyramid below the green cube,find,pyramid,red,below,cube,green
find the red pyramid near the red cube,find,pyramid,red,near,cube,red
find the red pyramid near the blue cube,find,pyramid,red,near,cube,blue
find the red pyramid near the green cube,find,pyramid,red,near,cube,green
find the red pyramid right the red cube,find,pyramid,red,right,cube,red
find the red pyramid right the blue cube,find,pyramid,red,right,cube,blue
find the red pyramid right the green cube,find,pyramid,red,right,cube,green
find the red pyramid left the red cube,find,pyramid,red,left,cube,red
find the red pyramid left the blue cube,find,pyramid,red,left,cube,blue
find the red pyramid left the green cube,find,pyramid,red,left,cube,green
find the red pyramid above the red pyramid,find,pyramid,red,above,pyramid,red
find the red pyramid above the blue pyramid,find,pyramid,red,above,pyramid,blue
find the red pyramid above the green pyramid,find,pyramid,red,above,pyramid,green
find the red pyramid below the red pyramid,find,pyramid,red,below,pyramid,red
find the red pyramid below the blue pyramid,find,pyramid,red,below,pyramid,blue
find the red pyramid below the green pyramid,find,pyramid,red,below,pyramid,green
find the red pyramid near the red pyramid,find,pyramid,red,near,pyramid,red
find the red pyramid near the blue pyramid,find,pyramid,red,near,pyramid,blue
find the red pyramid near the green pyramid,find,pyramid,red,near,pyramid,green
find the red pyramid right the red pyramid,find,pyramid,red,right,pyramid,red
find the red pyramid right the blue pyramid,find,pyramid,red,right,pyramid,blue
find the red pyramid right the green pyramid,find,pyramid,red,right,pyramid,green
find the red pyramid left the red pyramid,find,pyramid,red,left,pyramid,red
find the red pyramid left the blue pyramid,find,pyramid,red,left,pyramid,blue
find the red pyramid left the green pyramid,find,pyramid,red,left,pyramid,green
find the red pyramid above the red sphere,find,pyramid,red,above,sphere,red
find the red pyramid above the blue sphere,find,pyramid,red,above,sphere,blue
find the red pyramid above the green sphere,find,pyramid,red,above,sphere,green
find the red pyramid below the red sphere,find,pyramid,red,below,sphere,red
find the red pyramid below the blue sphere,find,pyramid,red,below,sphere,blue
find the red pyramid below the green sphere,find,pyramid,red,below,sphere,green
find the red pyramid near the red sphere,find,pyramid,red,near,sphere,red
find the red pyramid near the blue sphere,find,pyramid,red,near,sphere,blue
find the red pyramid near the green sphere,find,pyramid,red,near,sphere,green
find the red pyramid right the red sphere,find,pyramid,red,right,sphere,red
find the red pyramid right the blue sphere,find,pyramid,red,right,sphere,blue
find the red pyramid right the green sphere,find,pyramid,red,right,sphere,green
find the red pyramid left the red sphere,find,pyramid,red,left,sphere,red
find the red pyramid left the blue sphere,find,pyramid,red,left,sphere,blue
find the red pyramid left the green sphere,find,pyramid,red,left,sphere,green
delete the red pyramid above the red cube,delete,pyramid,red,above,cube,red
delete the red pyramid above the blue cube,delete,pyramid,red,above,cube,blue
delete the red pyramid above the green cube,delete,pyramid,red,above,cube,green
delete the red pyramid below the red cube,delete,pyramid,red,below,cube,red
delete the red pyramid below the blue cube,delete,pyramid,red,below,cube,blue
delete the red pyramid below the green cube,delete,pyramid,red,below,cube,green
delete the red pyramid near the red cube,delete,pyramid,red,near,cube,red
delete the red pyramid near the blue cube,delete,pyramid,red,near,cube,blue
delete the red pyramid near the green cube,delete,pyramid,red,near,cube,green
delete the red pyramid right the red cube,delete,pyramid,red,right,cube,red
delete the red pyramid right the blue cube,delete,pyramid,red,right,cube,blue
delete the red pyramid right the green cube,delete,pyramid,red,right,cube,green
delete the red pyramid left the red cube,delete,pyramid,red,left,cube,red
delete the red pyramid left the blue cube,delete,pyramid,red,left,cube,blue
delete the red pyramid left the green cube,delete,pyramid,red,left,cube,green
delete the red pyramid above the red pyramid,delete,pyramid,red,above,pyramid,red
delete the red pyramid above the blue pyramid,delete,pyramid,red,above,pyramid,blue
delete the red pyramid above the green pyramid,delete,pyramid,red,above,pyramid,green
delete the red pyramid below the red pyramid,delete,pyramid,red,below,pyramid,red
delete the red pyramid below the blue pyramid,delete,pyramid,red,below,pyramid,blue
delete the red pyramid below the green pyramid,delete,pyramid,red,below,pyramid,green
delete the red pyramid near the red pyramid,delete,pyramid,red,near,pyramid,red
delete the red pyramid near the blue pyramid,delete,pyramid,red,near,pyramid,blue
delete the red pyramid near the green pyramid,delete,pyramid,red,near,pyramid,green
delete the red pyramid right the red pyramid,delete,pyramid,red,right,pyramid,red
delete the red pyramid right the blue pyramid,delete,pyramid,red,right,pyramid,blue
delete the red pyramid right the green pyramid,delete,pyramid,red,right,pyramid,green
delete the red pyramid left the red pyramid,delete,pyramid,red,left,pyramid,red
delete the red pyramid left the blue pyramid,delete,pyramid,red,left,pyramid,blue
delete the red pyramid left the green pyramid,delete,pyramid,red,left,pyramid,green
delete the red pyramid above the red sphere,delete,pyramid,red,above,sphere,red
delete the red pyramid above the blue sphere,delete,pyramid,red,above,sphere,blue
delete the red pyramid above the green sphere,delete,pyramid,red,above,sphere,green
delete the red pyramid below the red sphere,delete,pyramid,red,below,sphere,red
delete the red pyramid below the blue sphere,delete,pyramid,red,below,sphere,blue
delete the red pyramid below the green sphere,delete,pyramid,red,below,sphere,green
delete the red pyramid near the red sphere,delete,pyramid,red,near,sphere,red
delete the red pyramid near the blue sphere,delete,pyramid,red,near,sphere,blue
delete the red pyramid near the green sphere,delete,pyramid,red,near,sphere,green
delete the red pyramid right the red sphere,delete,pyramid,red,right,sphere,red
delete the red pyramid right the blue sphere,delete,pyramid,red,right,sphere,blue
delete the red pyramid right the green sphere,delete,pyramid,red,right,sphere,green
delete the red pyramid left the red sphere,delete,pyramid,red,left,sphere,red
delete the red pyramid left the blue sphere,delete,pyramid,red,left,sphere,blue
delete the red pyramid left the green sphere,delete,pyramid,red,left,sphere,green
move the red pyramid above the red cube,move,pyramid,red,above,cube,red
move the red pyramid above the blue cube,move,pyramid,red,above,cube,blue
move the red pyramid above the green cube,move,pyramid,red,above,cube,green
move the red pyramid below the red cube,move,pyramid,red,below,cube,red
move the red pyramid below the blue cube,move,pyramid,red,below,cube,blue
move the red pyramid below the green cube,move,pyramid,red,below,cube,green
move the red pyramid near the red cube,move,pyramid,red,near,cube,red
move the red pyramid near the blue cube,move,pyramid,red,near,cube,blue
move the red pyramid near the green cube,move,pyramid,red,near,cube,green
move the red pyramid right the red cube,move,pyramid,red,right,cube,red
move the red pyramid right the blue cube,move,pyramid,red,right,cube,blue
move the red pyramid right the green cube,move,pyramid,red,right,cube,green
move the red pyramid left the red cube,move,pyramid,red,left,cube,red
move the red pyramid left the blue cube,move,pyramid,red,left,cube,blue
move the red pyramid left the green cube,move,pyramid,red,left,cube,green
move the red pyramid above the red pyramid,move,pyramid,red,above,pyramid,red
move the red pyramid above the blue pyramid,move,pyramid,red,above,pyramid,blue
move the red pyramid above the green pyramid,move,pyramid,red,above,pyramid,green
move the red pyramid below the red pyramid,move,pyramid,red,below,pyramid,red
move the red pyramid below the blue pyramid,move,pyramid,red,below,pyramid,blue
move the red pyramid below the green pyramid,move,pyramid,red,below,pyramid,green
move the red pyramid near the red pyramid,move,pyramid,red,near,pyramid,red
move the red pyramid near the blue pyramid,move,pyramid,red,near,pyramid,blue
move the red pyramid near the green pyramid,move,pyramid,red,near,pyramid,green
move the red pyramid right the red pyramid,move,pyramid,red,right,pyramid,red
move the red pyramid right the blue pyramid,move,pyramid,red,right,pyramid,blue
move the red pyramid right the green pyramid,move,pyramid,red,right,pyramid,green
move the red pyramid left the red pyramid,move,pyramid,red,left,pyramid,red
move the red pyramid left the blue pyramid,move,pyramid,red,left,pyramid,blue
move the red pyramid left the green pyramid,move,pyramid,red,left,pyramid,green
move the red pyramid above the red sphere,move,pyramid,red,above,sphere,red
move the red pyramid above the blue sphere,move,pyramid,red,above,sphere,blue
move the red pyramid above the green sphere,move,pyramid,red,above,sphere,green
move the red pyramid below the red sphere,move,pyramid,red,below,sphere,red
move the red pyramid below the blue sphere,move,pyramid,red,below,sphere,blue
move the red pyramid below the green sphere,move,pyramid,red,below,sphere,green
move the red pyramid near the red sphere,move,pyramid,red,near,sphere,red
move the red pyramid near the blue sphere,move,pyramid,red,near,sphere,blue
move the red pyramid near the green sphere,move,pyramid,red,near,sphere,green
move the red pyramid right the red sphere,move,pyramid,red,right,sphere,red
move the red pyramid right the blue sphere,move,pyramid,red,right,sphere,blue
move the red pyramid right the green sphere,move,pyramid,red,right,sphere,green
move the red pyramid left the red sphere,move,pyramid,red,left,sphere,red
move the red pyramid left the blue sphere,move,pyramid,red,left,sphere,blue
move the red pyramid left the green sphere,move,pyramid,red,left,sphere,green
hold the red pyramid above the red cube,hold,pyramid,red,above,cube,red
hold the red pyramid above the blue cube,hold,pyramid,red,above,cube,blue
hold the red pyramid above the green cube,hold,pyramid,red,above,cube,green
hold the red pyramid below the red cube,hold,pyramid,red,below,cube,red
hold the red pyramid below the blue cube,hold,pyramid,red,below,cube,blue
hold the red pyramid below the green cube,hold,pyramid,red,below,cube,green
hold the red pyramid near the red cube,hold,pyramid,red,near,cube,red
hold the red pyramid near the blue cube,hold,pyramid,red,near,cube,blue
hold the red pyramid near the green cube,hold,pyramid,red,near,cube,green
hold the red pyramid right the red cube,hold,pyramid,red,right,cube,red
hold the red pyramid right the blue cube,hold,pyramid,red,right,cube,blue
hold the red pyramid right the green cube,hold,pyramid,red,right,cube,green
hold the red pyramid left the red cube,hold,pyramid,red,left,cube,red
hold the red pyramid left the blue cube,hold,pyramid,red,left,cube,blue
hold the red pyramid left the green cube,hold,pyramid,red,left,cube,green
hold the red pyramid above the red pyramid,hold,pyramid,red,above,pyramid,red
hold the red pyramid above the blue pyramid,hold,pyramid,red,above,pyramid,blue
hold the red pyramid above the green pyramid,hold,pyramid,red,above,pyramid,green
hold the red pyramid below the red pyramid,hold,pyramid,red,below,pyramid,red
hold the red pyramid below the blue pyramid,hold,pyramid,red,below,pyramid,blue
hold the red pyramid below the green pyramid,hold,pyramid,red,below,pyramid,green
hold the red pyramid near the red pyramid,hold,pyramid,red,near,pyramid,red
hold the red pyramid near the blue pyramid,hold,pyramid,red,near,pyramid,blue
hold the red pyramid near the green pyramid,hold,pyramid,red,near,pyramid,green
hold the red pyramid right the red pyramid,hold,pyramid,red,right,pyramid,red
hold the red pyramid right the blue pyramid,hold,pyramid,red,right,pyramid,blue
hold the red pyramid right the green pyramid,hold,pyramid,red,right,pyramid,green
hold the red pyramid left the red pyramid,hold,pyramid,red,left,pyramid,red
hold the red pyramid left the blue pyramid,hold,pyramid,red,left,pyramid,blue
hold the red pyramid left the green pyramid,hold,pyramid,red,left,pyramid,green
hold the red pyramid above the red sphere,hold,pyramid,red,above,sphere,red
hold the red pyramid above the blue sphere,hold,pyramid,red,above,sphere,blue
hold the red pyramid above the green sphere,hold,pyramid,red,above,sphere,green
hold the red pyramid below the red sphere,hold,pyramid,red,below,sphere,red
hold the red pyramid below the blue sphere,hold,pyramid,red,below,sphere,blue
hold the red pyramid below the green sphere,hold,pyramid,red,below,sphere,green
hold the red pyramid near the red sphere,hold,pyramid,red,near,sphere,red
hold the red pyramid near the blue sphere,hold,pyramid,red,near,sphere,blue
hold the red pyramid near the green sphere,hold,pyramid,red,near,sphere,green
hold the red pyramid right the red sphere,hold,pyramid,red,right,sphere,red
hold the red pyramid right the blue sphere,hold,pyramid,red,right,sphere,blue
